macro,value,source
AdjudicatedFalsePositive,5,survey/data/hand_adjudication.csv
AdjudicatedGenuine,7,survey/data/hand_adjudication.csv
AdjudicatedGenuineProjects,6,survey/data/hand_adjudication.csv
AdjudicatedTotal,13,survey/data/hand_adjudication.csv
AdjudicatedUnresolved,1,survey/data/hand_adjudication.csv
ContainerVersusHostRatio,0.92,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
CounterFilesFetched,191,survey/data/counterexamples.json
CounterWithVerify,120,survey/data/counterexamples.json
DecompExplainedPct,77.9,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
DecompObserved,23.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
DecompPredicted,18.62,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
DecompResidual,5.29,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
DecompResidualCiHi,5.50,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
DecompResidualCiLo,4.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostCallsPerInvocation,40000,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostCreateSecretKey,0.583,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostCreateSecretKeyCiHi,0.58,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostCreateSecretKeyCiLo,0.54,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostCvMax,3.5,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostDecodeOnly,1.29,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostDecodeOnlyCiHi,1.29,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostDecodeOnlyCiLo,1.25,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacKeyObject,2.17,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacKeyObjectCiHi,2.17,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacKeyObjectCiLo,2.12,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacString,2.21,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacStringCiHi,2.25,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostHmacStringCiLo,2.21,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostInvocations,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtPreparsed,6.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtPreparsedCiHi,6.12,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtPreparsedCiLo,5.96,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPemString,52.58,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPemStringCiHi,52.71,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPemStringCiLo,52.42,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPreparsed,25.33,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPreparsedCiHi,25.50,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtRsPreparsedCiLo,25.29,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtString,29.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtStringCiHi,30.12,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtStringCiLo,29.75,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtStringSafe,7.21,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtStringSafeCiHi,7.33,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostJwtStringSafeCiLo,7.12,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeShareOfCall,60,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeSucceeds,13.83,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeSucceedsCiHi,13.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeSucceedsCiLo,13.62,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeThrows,18.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeThrowsCiHi,18.25,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostProbeThrowsCiLo,17.83,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostRsStringPenalty,27.29,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostRsStringPenaltyCiHi,27.37,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostRsStringPenaltyCiLo,27.00,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostRsStringPenaltyRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchRatio,4.15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchResidual,1.21,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchResidualCiHi,1.25,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchResidualCiLo,1.08,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchResidualRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSaving,22.71,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingCiHi,22.88,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingCiLo,22.54,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostSafePatchSavingRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenalty,23.92,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyCiHi,24.00,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyCiLo,23.58,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostStringPenaltyRounds,15,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverhead,0.042,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverheadCiHi,0.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
HostTimerOverheadCiLo,0.04,data/runs/2026-09-17T08-42-17Z-keypath-mechanism/keypath_stats.json
MatrixCallsPerInvocation,20000,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
MatrixInvocations,10,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenDecodeOnly,1.62,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenHmacString,2.42,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenJwtPreparsed,7.58,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenJwtString,394.71,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenNodeLiteral,18.20.8,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenNodeMajor,18,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenOpensslLiteral,3.0.16,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenOpensslSeries,3.0,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeSucceeds,115.83,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrows,373.79,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrowsCiHi,375.79,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeEighteenProbeThrowsCiLo,371.50,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyDecodeOnly,2.19,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyHmacString,2.33,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyJwtPreparsed,7.25,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
NodeTwentyJwtString,437.40,data/runs/2026-09-17T08-57-13Z-keypath-runtime-matrix/keypath_stats.json
